"title","author","subject","abstract","date"
"bidrn: a method of bidirectional recurrent neural network for sentiment analysis","dr. d muthusankar, dr. p kaladevi, dr. v r sadasivam, r praveen","computation and language","text mining research has grown in importance in recent years due to the tremendous increase in the volume of unstructured textual data. this has resulted in immense potential as well as obstacles in the sector, which may be efficiently addressed with adequate analytical and study methods. deep bidirectional recurrent neural networks are used in this study to analyze sentiment. the method is categorized as sentiment polarity analysis because it may generate a dataset with sentiment labels. this dataset can be used to train and evaluate sentiment analysis models capable of extracting impartial opinions. this paper describes the sentiment analysis-deep bidirectional recurrent neural networks (sa-bdrnn) scheme, which seeks to overcome the challenges and maximize the potential of text mining in the context of big data. the current study proposes a sa-dbrnn scheme that attempts to give a systematic framework for sentiment analysis in the context of student input on institution choice. the purpose of this study is to compare the effectiveness of the proposed sa- dbrnn scheme to existing frameworks to establish a robust deep neural network that might serve as an adequate classification model in the field of sentiment analysis.",2023-11-13
"matnexus: a comprehensive text mining and analysis suite for materials discover","lei zhang, markus stricker","materials science","matnexus is a specialized software for the automated collection, processing, and analysis of text from scientific articles. through an integrated suite of modules, the matnexus facilitates the retrieval of scientific articles, processes textual data for insights, generates vector representations suitable for machine learning, and offers visualization capabilities for word embeddings. with the vast volume of scientific publications, matnexus stands out as an end-to-end tool for researchers aiming to gain insights from scientific literature in material science, making the exploration of materials, such as the electrocatalyst examples we show here, efficient and insightful.",2023-11-07
"automated annotation of scientific texts for ml-based keyphrase extraction and validation","oluwamayowa o. amusat, harshad hegde, christopher j. mungall, anna giannakou, neil p. byers, dan gunter, kjiersten fagnan, lavanya ramakrishnan","information retrieval","advanced omics technologies and facilities generate a wealth of valuable data daily; however, the data often lacks the essential metadata required for researchers to find and search them effectively. the lack of metadata poses a significant challenge in the utilization of these datasets. machine learning-based metadata extraction techniques have emerged as a potentially viable approach to automatically annotating scientific datasets with the metadata necessary for enabling effective search. text labeling, usually performed manually, plays a crucial role in validating machine-extracted metadata. however, manual labeling is time-consuming; thus, there is an need to develop automated text labeling techniques in order to accelerate the process of scientific innovation. this need is particularly urgent in fields such as environmental genomics and microbiome science, which have historically received less attention in terms of metadata curation and creation of gold-standard text mining datasets. in this paper, we present two novel automated text labeling approaches for the validation of ml-generated metadata for unlabeled texts, with specific applications in environmental genomics. our techniques show the potential of two new ways to leverage existing information about the unlabeled texts and the scientific domain. the first technique exploits relationships between different types of data sources related to the same research study, such as publications and proposals. the second technique takes advantage of domain-specific controlled vocabularies or ontologies. in this paper, we detail applying these approaches for ml-generated metadata validation. our results show that the proposed label assignment approaches can generate both generic and highly-specific text labels for the unlabeled texts, with up to 44% of the labels matching with those suggested by a ml keyword extraction algorithm.",2023-11-08
"in nomine patris... elements for a semantics of medieval paternity","nicolas perreaux (lamop)","digital libraries","this article examines medieval concepts of paternity and father-son relationships through the digital analysis of medieval textual corpora. although historians have access to enormous digital collections in 2023, they have rarely fully exploited these resources. the author proposes a historical semantic approach to this theme, using modeling tools and text mining in general, to analyze the evolution of terms related to paternity. the study proposes three conclusions: 1. a semantic break occurred in the semantic field of paternity at the turn of antiquity and the early middle ages. the meaning of pater and its derivatives changed radically over the course of the 4th-6th centuries, particularly as a result of the influence of the dogma of the christian trinity. medieval fatherhood was multidimensional, encompassing both biological and spiritual aspects, in other words, complex relationships between multiple carnal and spiritual (i.e. divine) fathers. 2. the role of spiritual kinship is crucial to understanding medieval fatherhood, as the work of anita guerreau-jalabert and j{é}r{ô}me baschet has already shown. initially attributed to god, this ''ideal paternity'' (paternitas) gradually extended to members of the church (popes, bishops, abbots), underlining at the same time the growing importance of spiritual kinship over biological kinship over the centuries studied. 3. to reveal these structures, invisible to the naked eye, an interdisciplinary approach is rigorously required. complementary investigations into the lemmas mater, filia, frater and other family terms are required. the use of digital tools and historical semantic analysis opens up new perspectives for researchers in history, anthropology, linguistics and data mining, enabling them to explore the representation systems of ancient societies in depth and with nuance.",2023-10-06
"dail: data augmentation for in-context learning via self-paraphrase","dawei li, yaxuan li, dheeraj mekala, shuyao li, yulin wang, xueqi wang, william hogan, jingbo shang","computation and language","in-context learning (icl) combined with pre-trained large language models has achieved promising results on various nlp tasks. however, icl requires high-quality annotated demonstrations which might not be available in real-world scenarios. to overcome this limitation, we propose \textbf{d}ata \textbf{a}ugmentation for \textbf{i}n-context \textbf{l}earning (\textbf{dail}). dail leverages the intuition that large language models are more familiar with the content generated by themselves. it first utilizes the language model to generate paraphrases of the test sample and employs majority voting to determine the final result based on individual predictions. our extensive empirical evaluation shows that dail outperforms the standard icl method and other ensemble-based methods in the low-resource scenario. additionally, we explore the use of voting consistency as a confidence score of the model when the logits of predictions are inaccessible. we believe our work will stimulate further research on icl in low-resource settings.",2023-11-06
"content significance distribution of sub-text blocks in articles and its application to article-organization assessment","you zhou, jie wang","computer vision and pattern recognition","we explore how to capture the significance of a sub-text block in an article and how it may be used for text mining tasks. a sub-text block is a sub-sequence of sentences in the article. we formulate the notion of content significance distribution (csd) of sub-text blocks, referred to as csd of the first kind and denoted by csd-1. in particular, we leverage hugging face's sentencetransformer to generate contextual sentence embeddings, and use moverscore over text embeddings to measure how similar a sub-text block is to the entire text. to overcome the exponential blowup on the number of sub-text blocks, we present an approximation algorithm and show that the approximated csd-1 is almost identical to the exact csd-1. under this approximation, we show that the average and median csd-1's for news, scholarly research, argument, and narrative articles share the same pattern. we also show that under a certain linear transformation, the complement of the cumulative distribution function of the beta distribution with certain values of $\alpha$ and $\beta$ resembles a csd-1 curve. we then use csd-1's to extract linguistic features to train an svc classifier for assessing how well an article is organized. through experiments, we show that this method achieves high accuracy for assessing student essays. moreover, we study csd of sentence locations, referred to as csd of the second kind and denoted by csd-2, and show that average csd-2's for different types of articles possess distinctive patterns, which either conform common perceptions of article structures or provide rectification with minor deviation.",2023-11-03
"an energy-based comparative analysis of common approaches to text classification in the legal domain","sinan gultekin, achille globo, andrea zugarini, marco ernandes, leonardo rigutini","computation and language","most machine learning research evaluates the best solutions in terms of performance. however, in the race for the best performing model, many important aspects are often overlooked when, on the contrary, they should be carefully considered. in fact, sometimes the gaps in performance between different approaches are neglectable, whereas factors such as production costs, energy consumption, and carbon footprint must take into consideration. large language models (llms) are extensively adopted to address nlp problems in academia and industry. in this work, we present a detailed quantitative comparison of llm and traditional approaches (e.g. svm) on the lexglue benchmark, which takes into account both performance (standard indices) and alternative metrics such as timing, power consumption and cost, in a word: the carbon-footprint. in our analysis, we considered the prototyping phase (model selection by training-validation-test iterations) and in-production phases separately, since they follow different implementation procedures and also require different resources. the results indicate that very often, the simplest algorithms achieve performance very close to that of large llms but with very low power consumption and lower resource demands. the results obtained could suggest companies to include additional evaluations in the choice of machine learning (ml) solutions.",2023-11-02
"sentence bag graph formulation for biomedical distant supervision relation extraction","hao zhang, yang liu, xiaoyan liu, tianming liang, gaurav sharma, liang xue, maozu guo","machine learning","we introduce a novel graph-based framework for alleviating key challenges in distantly-supervised relation extraction and demonstrate its effectiveness in the challenging and important domain of biomedical data. specifically, we propose a graph view of sentence bags referring to an entity pair, which enables message-passing based aggregation of information related to the entity pair over the sentence bag. the proposed framework alleviates the common problem of noisy labeling in distantly supervised relation extraction and also effectively incorporates inter-dependencies between sentences within a bag. extensive experiments on two large-scale biomedical relation datasets and the widely utilized nyt dataset demonstrate that our proposed framework significantly outperforms the state-of-the-art methods for biomedical distant supervision relation extraction while also providing excellent performance for relation extraction in the general text mining domain.",2023-10-29
"test-time augmentation for factual probing","go kamoda, benjamin heinzerling, keisuke sakaguchi, kentaro inui","computation and language","factual probing is a method that uses prompts to test if a language model ""knows"" certain world knowledge facts. a problem in factual probing is that small changes to the prompt can lead to large changes in model output. previous work aimed to alleviate this problem by optimizing prompts via text mining or fine-tuning. however, such approaches are relation-specific and do not generalize to unseen relation types. here, we propose to use test-time augmentation (tta) as a relation-agnostic method for reducing sensitivity to prompt variations by automatically augmenting and ensembling prompts at test time. experiments show improved model calibration, i.e., with tta, model confidence better reflects prediction accuracy. improvements in prediction accuracy are observed for some models, but for other models, tta leads to degradation. error analysis identifies the difficulty of producing high-quality prompt variations as the main challenge for tta.",2023-10-26
"unraveling the skillsets of data scientists: text mining analysis of dutch university master programs in data science and artificial intelligence","mathijs j. mol, barbara belfi, zsuzsa bakk","other statistics","the growing demand for data scientists in the global labor market and the netherlands has led to a rise in data science and artificial intelligence (ai) master programs offered by universities. however, there is still a lack of clarity regarding the specific skillsets of data scientists. this study aims to address this issue by employing correlated topic modeling (ctm) to analyse the content of 41 master programs offered by seven dutch universities. we assess the differences and similarities in the core skills taught by these programs, determine the subject-specific and general nature of the skills, and provide a comparison between the different types of universities offering these programs. our findings reveal that research, data processing, statistics and ethics are the predominant skills taught in dutch data science and ai master programs, with general universities emphasizing research skills and technical universities focusing more on it and electronic skills. this study contributes to a better understanding of the diverse skillsets of data scientists, which is essential for employers, universities, and prospective students.",2023-10-23
"the uncertainty-based retrieval framework for ancient chinese cws and pos","pengyu wang, zhichen ren","computation and language","automatic analysis for modern chinese has greatly improved the accuracy of text mining in related fields, but the study of ancient chinese is still relatively rare. ancient text division and lexical annotation are important parts of classical literature comprehension, and previous studies have tried to construct auxiliary dictionary and other fused knowledge to improve the performance. in this paper, we propose a framework for ancient chinese word segmentation and part-of-speech tagging that makes a twofold effort: on the one hand, we try to capture the wordhood semantics; on the other hand, we re-predict the uncertain samples of baseline model by introducing external knowledge. the performance of our architecture outperforms pre-trained bert with crf and existing tools such as jiayan.",2023-10-12
"an analysis on large language models in healthcare: a case study of biobert","shyni sharaf, v. s. anoop","artificial intelligence","this paper conducts a comprehensive investigation into applying large language models, particularly on biobert, in healthcare. it begins with thoroughly examining previous natural language processing (nlp) approaches in healthcare, shedding light on the limitations and challenges these methods face. following that, this research explores the path that led to the incorporation of biobert into healthcare applications, highlighting its suitability for addressing the specific requirements of tasks related to biomedical text mining. the analysis outlines a systematic methodology for fine-tuning biobert to meet the unique needs of the healthcare domain. this approach includes various components, including the gathering of data from a wide range of healthcare sources, data annotation for tasks like identifying medical entities and categorizing them, and the application of specialized preprocessing techniques tailored to handle the complexities found in biomedical texts. additionally, the paper covers aspects related to model evaluation, with a focus on healthcare benchmarks and functions like processing of natural language in biomedical, question-answering, clinical document classification, and medical entity recognition. it explores techniques to improve the model's interpretability and validates its performance compared to existing healthcare-focused language models. the paper thoroughly examines ethical considerations, particularly patient privacy and data security. it highlights the benefits of incorporating biobert into healthcare contexts, including enhanced clinical decision support and more efficient information retrieval. nevertheless, it acknowledges the impediments and complexities of this integration, encompassing concerns regarding data privacy, transparency, resource-intensive requirements, and the necessity for model customization to align with diverse healthcare domains.",2023-10-11
"foreseer: product aspect forecasting using temporal graph embedding","zixuan liu, gaurush hiranandani, kun qian, eddie w. huang, yi xu, belinda zeng, karthik subbian, sheng wang","information retrieval","developing text mining approaches to mine aspects from customer reviews has been well-studied due to its importance in understanding customer needs and product attributes. in contrast, it remains unclear how to predict the future emerging aspects of a new product that currently has little review information. this task, which we named product aspect forecasting, is critical for recommending new products, but also challenging because of the missing reviews. here, we propose foreseer, a novel textual mining and product embedding approach progressively trained on temporal product graphs for this novel product aspect forecasting task. foreseer transfers reviews from similar products on a large product graph and exploits these reviews to predict aspects that might emerge in future reviews. a key novelty of our method is to jointly provide review, product, and aspect embeddings that are both time-sensitive and less affected by extremely imbalanced aspect frequencies. we evaluated foreseer on a real-world product review system containing 11,536,382 reviews and 11,000 products over 3 years. we observe that foreseer substantially outperformed existing approaches with at least 49.1\% auprc improvement under the real setting where aspect associations are not given. foreseer further improves future link prediction on the product graph and the review aspect association prediction. collectively, foreseer offers a novel framework for review forecasting by effectively integrating review text, product network, and temporal information, opening up new avenues for online shopping recommendation and e-commerce applications.",2023-10-07
"literature based discovery (lbd): towards hypothesis generation and knowledge discovery in biomedical text mining","balu bhasuran, gurusamy murugesan, jeyakumar natarajan","information retrieval","biomedical knowledge is growing in an astounding pace with a majority of this knowledge is represented as scientific publications. text mining tools and methods represents automatic approaches for extracting hidden patterns and trends from this semi structured and unstructured data. in biomedical text mining, literature based discovery (lbd) is the process of automatically discovering novel associations between medical terms otherwise mentioned in disjoint literature sets. lbd approaches proven to be successfully reducing the discovery time of potential associations that are hidden in the vast amount of scientific literature. the process focuses on creating concept profiles for medical terms such as a disease or symptom and connecting it with a drug and treatment based on the statistical significance of the shared profiles. this knowledge discovery approach introduced in 1989 still remains as a core task in text mining. currently the abc principle based two approaches namely open discovery and closed discovery are mostly explored in lbd process. this review starts with general introduction about text mining followed by biomedical text mining and introduces various literature resources such as medline, umls, mesh, and semmeddb. this is followed by brief introduction of the core abc principle and its associated two approaches open discovery and closed discovery in lbd process. this review also discusses the deep learning applications in lbd by reviewing the role of transformer models and neural networks based lbd models and its future aspects. finally, reviews the key biomedical discoveries generated through lbd approaches in biomedicine and conclude with the current limitations and future directions of lbd.",2023-10-04
"procedural text mining with large language models","anisa rula, jennifer d'souza","computation and language","recent advancements in the field of natural language processing, particularly the development of large-scale language models that are pretrained on vast amounts of knowledge, are creating novel opportunities within the realm of knowledge engineering. in this paper, we investigate the usage of large language models (llms) in both zero-shot and in-context learning settings to tackle the problem of extracting procedures from unstructured pdf text in an incremental question-answering fashion. in particular, we leverage the current state-of-the-art gpt-4 (generative pre-trained transformer 4) model, accompanied by two variations of in-context learning that involve an ontology with definitions of procedures and steps and a limited number of samples of few-shot learning. the findings highlight both the promise of this approach and the value of the in-context learning customisations. these modifications have the potential to significantly address the challenge of obtaining sufficient training data, a hurdle often encountered in deep learning-based natural language processing techniques for procedure extraction.",2023-10-05
"a review of undergraduate courses in design of experiments offered by american universities","alan r. vazquez, xiaocong xuan","other statistics","design of experiments (doe) is a relevant class to undergraduate programs in the sciences, because it teaches students how to plan, conduct, and analyze experiments. in the literature on doe, there are several contributions to its pedagogy, such as easy-to-use class experiments, virtual experiments, and software for constructing experimental designs. however, there are virtually no systematic assessments of the actual doe pedagogy. to address this issue, we build the first database of undergraduate doe courses offered in the united states of america. the database has records on courses offered from 2019 to 2022 by the best universities in the us news best national universities ranking of 2022. specifically, it has data on 18 general and content-specific features of 206 courses. to study the doe pedagogy, we analyze the database using descriptive statistics and text mining. our main findings include that most undergraduate doe courses follow the textbook ""design of and analysis of experiments"" by douglas montgomery, use the r software, and emphasize the learning of multifactor designs, randomization restrictions, data analysis, and applications. based on our analysis, we provide instructors with recommendations and teaching material to enhance their doe courses. the database and material are included in the supplementary material.",2023-09-29
"machine-assisted mixed methods: augmenting humanities and social sciences with artificial intelligence","andres karjus","computation and language","the increasing capacities of large language models (llms) present an unprecedented opportunity to scale up data analytics in the humanities and social sciences, augmenting and automating qualitative analytic tasks previously typically allocated to human labor. this contribution proposes a systematic mixed methods framework to harness qualitative analytic expertise, machine scalability, and rigorous quantification, with attention to transparency and replicability. 16 machine-assisted case studies are showcased as proof of concept. tasks include linguistic and discourse analysis, lexical semantic change detection, interview analysis, historical event cause inference and text mining, detection of political stance, text and idea reuse, genre composition in literature and film; social network inference, automated lexicography, missing metadata augmentation, and multimodal visual cultural analytics. in contrast to the focus on english in the emerging llm applicability literature, many examples here deal with scenarios involving smaller languages and historical texts prone to digitization distortions. in all but the most difficult tasks requiring expert knowledge, generative llms can demonstrably serve as viable research instruments. llm (and human) annotations may contain errors and variation, but the agreement rate can and should be accounted for in subsequent statistical modeling; a bootstrapping approach is discussed. the replications among the case studies illustrate how tasks previously requiring potentially months of team effort and complex computational pipelines, can now be accomplished by an llm-assisted scholar in a fraction of the time. importantly, this approach is not intended to replace, but to augment researcher knowledge and skills. with these opportunities in sight, qualitative expertise and the ability to pose insightful questions have arguably never been more critical.",2023-09-24
"graph representation learning towards patents network analysis","mohammad heydari, babak teimourpour","social and information networks","patent analysis has recently been recognized as a powerful technique for large companies worldwide to lend them insight into the age of competition among various industries. this technique is considered a shortcut for developing countries since it can significantly accelerate their technology development. therefore, as an inevitable process, patent analysis can be utilized to monitor rival companies and diverse industries. this research employed a graph representation learning approach to create, analyze, and find similarities in the patent data registered in the iranian official gazette. the patent records were scrapped and wrangled through the iranian official gazette portal. afterward, the key entities were extracted from the scrapped patents dataset to create the iranian patents graph from scratch based on novel natural language processing and entity resolution techniques. finally, thanks to the utilization of novel graph algorithms and text mining methods, we identified new areas of industry and research from iranian patent data, which can be used extensively to prevent duplicate patents, familiarity with similar and connected inventions, awareness of legal entities supporting patents and knowledge of researchers and linked stakeholders in a particular research field.",2023-09-25
"multiple relations classification using imbalanced predictions adaptation","sakher khalil alqaaidi, elika bozorgi, krzysztof j. kochut","computation and language","the relation classification task assigns the proper semantic relation to a pair of subject and object entities; the task plays a crucial role in various text mining applications, such as knowledge graph construction and entities interaction discovery in biomedical text. current relation classification models employ additional procedures to identify multiple relations in a single sentence. furthermore, they overlook the imbalanced predictions pattern. the pattern arises from the presence of a few valid relations that need positive labeling in a relatively large predefined relations set. we propose a multiple relations classification model that tackles these issues through a customized output architecture and by exploiting additional input features. our findings suggest that handling the imbalanced predictions leads to significant improvements, even on a modest training design. the results demonstrate superiority performance on benchmark datasets commonly used in relation classification. to the best of our knowledge, this work is the first that recognizes the imbalanced predictions within the relation classification task.",2023-09-24
"decoding the alphabet soup of degrees in the united states postsecondary education system through hybrid method: database and text mining","sahar voghoei, james byars, john a miller, khaled rasheed, hamid a arabnia","information retrieval","this paper proposes a model to predict the levels (e.g., bachelor, master, etc.) of postsecondary degree awards that have been ambiguously expressed in the student tracking reports of the national student clearinghouse (nsc). the model will be the hybrid of two modules. the first module interprets the relevant abbreviatory elements embedded in nsc reports by referring to a comprehensive database that we have made of nearly 950 abbreviations for degree titles used by american postsecondary educators. the second module is a combination of feature classification and text mining modeled with cnn-bilstm, which is preceded by several steps of heavy pre-processing. the model proposed in this paper was trained with four multi-label datasets of different grades of resolution and returned 97.83\% accuracy with the most sophisticated dataset. such a thorough classification of degree levels will provide insights into the modeling patterns of student success and mobility. to date, such a classification strategy has not been attempted except using manual methods and simple text parsing logic.",2023-09-06
"computational approaches for predicting drug-disease associations: a comprehensive review","chunyan ao, zhichao xiao, lixin guan, liang yu","quantitative methods","in recent decades, traditional drug research and development have been facing challenges such as high cost, long timelines, and high risks. to address these issues, many computational approaches have been suggested for predicting the relationship between drugs and diseases through drug repositioning, aiming to reduce the cost, development cycle, and risks associated with developing new drugs. researchers have explored different computational methods to predict drug-disease associations, including drug side effects-disease associations, drug-target associations, and mirnadisease associations. in this comprehensive review, we focus on recent advances in predicting drug-disease association methods for drug repositioning. we first categorize these methods into several groups, including neural network-based algorithms, matrixbased algorithms, recommendation algorithms, link-based reasoning algorithms, and text mining and semantic reasoning. then, we compare the prediction performance of existing drug-disease association prediction algorithms. lastly, we delve into the present challenges and future prospects concerning drug-disease associations.",2023-09-10
"the power of patents: leveraging text mining and social network analysis to forecast iot trends","mehrdad maghsoudi, reza nourbakhsh, mehrdad agha mohammadali kermani, rahim khanizad","social and information networks","technology has become an indispensable competitive tool as science and technology have progressed throughout history. organizations can compete on an equal footing by implementing technology appropriately. technology trends or technology lifecycles begin during the initiation phase. finally, it reaches saturation after entering the maturity phase. as technology reaches saturation, it will be removed or replaced by another. this makes investing in technologies during this phase unjustifiable. technology forecasting is a critical tool for research and development to determine the future direction of technology. based on registered patents, this study examined the trends of iot technologies. a total of 3697 patents related to the internet of things from the last six years of patenting have been gathered using this http url for this purpose. the main people and companies were identified through the creation of the iot patent registration cooperation network, and the main groups active in patent registration were identified by the community detection technique. the patents were then divided into six technology categories: safety and security, information services, public safety and environment monitoring, collaborative aware systems, smart homes/buildings, and smart grid. and their technical maturity was identified and examined using the sigma plot program. based on the findings, information services technologies are in the saturation stage, while both smart homes/buildings, and smart grid technologies are in the saturation stage. three technologies, safety and security, public safety and environment monitoring, and collaborative aware systems are in the maturity stage.",2023-09-01
"insights into the nutritional prevention of macular degeneration based on a comparative topic modeling approach","lucas cassiel jacaruso","computation and language","topic modeling and text mining are subsets of natural language processing (nlp) with relevance for conducting meta-analysis (ma) and systematic review (sr). for evidence synthesis, the above nlp methods are conventionally used for topic-specific literature searches or extracting values from reports to automate essential phases of sr and ma. instead, this work proposes a comparative topic modeling approach to analyze reports of contradictory results on the same general research question. specifically, the objective is to identify topics exhibiting distinct associations with significant results for an outcome of interest by ranking them according to their proportional occurrence in (and consistency of distribution across) reports of significant effects. the proposed method was tested on broad-scope studies addressing whether supplemental nutritional compounds significantly benefit macular degeneration (md). four of these were further supported in terms of effectiveness upon conducting a follow-up literature search for validation (omega-3 fatty acids, copper, zeaxanthin, and nitrates). the two not supported by the follow-up literature search (niacin and molybdenum) also had scores in the lowest range under the proposed scoring system, suggesting that the proposed methods score for a given topic may be a viable proxy for its degree of association with the outcome of interest and can be helpful in the search for potentially causal relationships. these results underpin the proposed methods potential to add specificity in understanding effects from broad-scope reports, elucidate topics of interest for future research, and guide evidence synthesis in a systematic and scalable way. all of this is accomplished while yielding valuable insights into the prevention of md.",2023-09-01
"biomedical entity linking with triple-aware pre-training","xi yan, cedric möller, ricardo usbeck","computation and language","linking biomedical entities is an essential aspect in biomedical natural language processing tasks, such as text mining and question answering. however, a difficulty of linking the biomedical entities using current large language models (llm) trained on a general corpus is that biomedical entities are scarcely distributed in texts and therefore have been rarely seen during training by the llm. at the same time, those llms are not aware of high level semantic connection between different biomedical entities, which are useful in identifying similar concepts in different textual contexts. to cope with aforementioned problems, some recent works focused on injecting knowledge graph information into llms. however, former methods either ignore the relational knowledge of the entities or lead to catastrophic forgetting. therefore, we propose a novel framework to pre-train the powerful generative llm by a corpus synthesized from a kg. in the evaluations we are unable to confirm the benefit of including synonym, description or relational information.",2023-08-28
"feature extraction using deep generative models for bangla text classification on a new comprehensive dataset","md. rafi-ur-rashid, sami azam, mirjam jonkman","information retrieval","the selection of features for text classification is a fundamental task in text mining and information retrieval. despite being the sixth most widely spoken language in the world, bangla has received little attention due to the scarcity of text datasets. in this research, we collected, annotated, and prepared a comprehensive dataset of 212,184 bangla documents in seven different categories and made it publicly accessible. we implemented three deep learning generative models: lstm variational autoencoder (lstm vae), auxiliary classifier generative adversarial network (ac-gan), and adversarial autoencoder (aae) to extract text features, although their applications are initially found in the field of computer vision. we utilized our dataset to train these three models and used the feature space obtained in the document classification task. we evaluated the performance of the classifiers and found that the adversarial autoencoder model produced the best feature space.",2023-08-21
"ds4dh at #smm4h 2023: zero-shot adverse drug events normalization using sentence transformers and reciprocal-rank fusion","anthony yazdani, hossein rouhizadeh, david vicente alvarez, douglas teodoro","computation and language","this paper outlines the performance evaluation of a system for adverse drug event normalization, developed by the data science for digital health (ds4dh) group for the social media mining for health applications (smm4h) 2023 shared task 5. shared task 5 targeted the normalization of adverse drug event mentions in twitter to standard concepts of the medical dictionary for regulatory activities terminology. our system hinges on a two-stage approach: bert fine-tuning for entity recognition, followed by zero-shot normalization using sentence transformers and reciprocal-rank fusion. the approach yielded a precision of 44.9%, recall of 40.5%, and an f1-score of 42.6%. it outperformed the median performance in shared task 5 by 10% and demonstrated the highest performance among all participants. these results substantiate the effectiveness of our approach and its potential application for adverse drug event normalization in the realm of social media text mining.",2023-08-15
"belb: a biomedical entity linking benchmark","samuele garda, leon weber-genzel, robert martin, ulf leser","computation and language","biomedical entity linking (bel) is the task of grounding entity mentions to a knowledge base. it plays a vital role in information extraction pipelines for the life sciences literature. we review recent work in the field and find that, as the task is absent from existing benchmarks for biomedical text mining, different studies adopt different experimental setups making comparisons based on published numbers problematic. furthermore, neural systems are tested primarily on instances linked to the broad coverage knowledge base umls, leaving their performance to more specialized ones, e.g. genes or variants, understudied. we therefore developed belb, a biomedical entity linking benchmark, providing access in a unified format to 11 corpora linked to 7 knowledge bases and spanning six entity types: gene, disease, chemical, species, cell line and variant. belb greatly reduces preprocessing overhead in testing bel systems on multiple corpora offering a standardized testbed for reproducible experiments. using belb we perform an extensive evaluation of six rule-based entity-specific systems and three recent neural approaches leveraging pre-trained language models. our results reveal a mixed picture showing that neural approaches fail to perform consistently across entity types, highlighting the need of further studies towards entity-agnostic models.",2023-08-22
"economic policy uncertainty: a review on applications and measurement methods with focus on text mining methods","fatemeh kaveh-yazdy, sajjad zarifzadeh","computers and society","economic policy uncertainty (epu) represents the uncertainty realized by the investors during economic policy alterations. epu is a critical indicator in economic studies to predict future investments, the unemployment rate, and recessions. epu values can be estimated based on financial parameters directly or implied uncertainty indirectly using the text mining methods. although epu is a well-studied topic within the economy, the methods utilized to measure it are understudied. in this article, we define the epu briefly and review the methods used to measure the epu, and survey the areas influenced by the changes in epu level. we divide the epu measurement methods into three major groups with respect to their input data. examples of each group of methods are enlisted, and the pros and cons of the groups are discussed. among the epu measures, text mining-based ones are dominantly studied. these methods measure the realized uncertainty by taking into account the uncertainty represented in the news and publicly available sources of financial information. finally, we survey the research areas that rely on measuring the epu index with the hope that studying the impacts of uncertainty would attract further attention of researchers from various research fields. in addition, we propose a list of future research approaches focusing on measuring epu using textual material.",2023-08-20
"real-time construction algorithm of co-occurrence network based on inverted index","jiahao cheng","information retrieval","co-occurrence networks are an important method in the field of natural language processing and text mining for discovering semantic relationships within texts. however, the traditional traversal algorithm for constructing co-occurrence networks has high time complexity and space complexity when dealing with large-scale text data. in this paper, we propose an optimized algorithm based on inverted indexing and breadth-first search to improve the efficiency of co-occurrence network construction and reduce memory consumption. firstly, the traditional traversal algorithm is analyzed, and its performance issues in constructing co-occurrence networks are identified. then, the detailed implementation process of the optimized algorithm is presented. subsequently, the csl large-scale chinese scientific literature dataset is used for experimental validation, comparing the performance of the traditional traversal algorithm and the optimized algorithm in terms of running time and memory usage. finally, using non-parametric test methods, the optimized algorithm is proven to have significantly better performance than the traditional traversal algorithm. the research in this paper provides an effective method for the rapid construction of co-occurrence networks, contributing to the further development of the information organization fields.",2023-08-17
"bi-lava: biocuration with hierarchical image labeling through active learning and visual analysis","juan trelles, andrew wentzel, william berrios, g. elisabeta marai","human-computer interaction","in the biomedical domain, taxonomies organize the acquisition modalities of scientific images in hierarchical structures. such taxonomies leverage large sets of correct image labels and provide essential information about the importance of a scientific publication, which could then be used in biocuration tasks. however, the hierarchical nature of the labels, the overhead of processing images, the absence or incompleteness of labeled data, and the expertise required to label this type of data impede the creation of useful datasets for biocuration. from a multi-year collaboration with biocurators and text-mining researchers, we derive an iterative visual analytics and active learning strategy to address these challenges. we implement this strategy in a system called bi-lava biocuration with hierarchical image labeling through active learning and visual analysis. bi-lava leverages a small set of image labels, a hierarchical set of image classifiers, and active learning to help model builders deal with incomplete ground-truth labels, target a hierarchical taxonomy of image modalities, and classify a large pool of unlabeled images. bi-lava's front end uses custom encodings to represent data distributions, taxonomies, image projections, and neighborhoods of image thumbnails, which help model builders explore an unfamiliar image dataset and taxonomy and correct and generate labels. an evaluation with machine learning practitioners shows that our mixed human-machine approach successfully supports domain experts in understanding the characteristics of classes within the taxonomy, as well as validating and improving data quality in labeled and unlabeled collections.",2023-08-15
